What_is_your_educational_level?,Provide_physical_therapy_to_people_recovering_from_an_injury,Create_special_effects_for_movies/_edit_movies,Give_career_guidance_to_people,Manage_a_department_within_a_large_company,Manage_the_operations_of_a_hotel,Study_the_movement_of_planets,Load_computer_software_into_a_large_computer_network,Assemble_electronic_parts,Draw_pictures,Compute_and_record_statistical_and_other_numerical_data,Write_a_song,Act_in_a_play,Study_space_travel,Conduct_chemical_experiments,Develop_a_new_medicine,Play_a_musical_instrument,Organize_and_schedule_office_meetings,Teach_an_individual_or_a_group_of_students,Handle_customers_bank_transactions,Assemble_Products_in_a_Factory,Manage_a_supermarket,Buy_and_sell_land,Want_to_serve_the_motherland_with_prestige,Write_books_or_plays,Teach_children_how_to_play_sports,Perform_comedy_routines_in_front_of_an_audience,Perform_nursing_duties_in_a_hospital,Write_scripts_for_movies_or_television_shows,Test_the_quality_of_parts_before_shipment,Start_your_own_business,Catch_fish_as_a_member_of a_fishing_crew,Help_elderly_people_with_their_daily_activities,Sell_computer_equipment_in_a_store,Develop_a_way_to_better_predict_the_weather,Do_laboratory_tests_to_identify_diseases,Study_ways_to_reduce_water_pollution,Sell_automobiles,Investigate_crimes,Teach_a_high-school_class,Market_a_new_line_of_clothing,Audition_singers_and_musicians_for_a_musical_show,Maintain_network_hardware_and_software,Set_up_and_operate_machines_to_make_products,Give_a_presentation_of_a_product_you_are_selling,Spray_trees_to_prevent_the_spread_of_harmful_insects,Knowledge_of_marketing_strategy,Keep_records_for_financial_transactions_for_an_organization,Teach_sign_language_to_people_with_hearing_disabilities,Loves_to_know_about_new_technology,Interest_to_know_how_computer_works,Career
post_matric,strongly dislike,dislike,like,like,dislike,like,dislike,unsure,dislike,like,dislike,dislike,like,like,dislike,like,dislike,like,dislike,dislike,dislike,like,unsure,like,like,strongly dislike,strongly dislike,strongly dislike,strongly dislike,like,strongly dislike,unsure,dislike,like,dislike,like,strongly dislike,like,strongly dislike,dislike,strongly dislike,strongly dislike,dislike,dislike,dislike,unsure,dislike,dislike,like,like,Information Technology
post_intermediate,dislike,like,like,unsure,strongly like,like,like,strongly like,strongly like,like,like,like,like,strongly like,strongly like,strongly like,like,like,dislike,dislike,strongly like,strongly dislike,like,like,strongly like,like,like,unsure,like,like,unsure,like,strongly dislike,dislike,like,like,dislike,unsure,like,unsure,like,like,like,unsure,like,like,like,like,like,like,Information Technology
post_intermediate,unsure,strongly like,strongly like,like,dislike,unsure,unsure,like,strongly like,like,like,like,like,unsure,strongly like,like,like,like,unsure,like,unsure,unsure,dislike,like,unsure,unsure,like,unsure,like,like,like,unsure,like,like,like,unsure,unsure,like,like,strongly like,strongly like,like,unsure,like,like,unsure,unsure,like,unsure,unsure,Management
post_graduation,like,like,strongly like,like,dislike,strongly like,unsure,like,strongly dislike,like,like,strongly dislike,strongly like,dislike,dislike,dislike,unsure,like,strongly like,like,like,like,unsure,strongly like,dislike,unsure,unsure,like,like,like,dislike,unsure,like,strongly like,unsure,strongly like,dislike,strongly like,like,dislike,like,unsure,unsure,dislike,dislike,unsure,like,like,like,like,Information Technology
post_graduation,like,like,strongly like,like,dislike,like,like,like,like,strongly like,dislike,unsure,like,like,dislike,strongly like,like,strongly like,like,unsure,like,dislike,unsure,strongly like,unsure,unsure,strongly like,strongly like,unsure,like,dislike,strongly like,dislike,like,unsure,like,unsure,like,like,dislike,like,like,like,like,like,dislike,dislike,dislike,like,strongly like,Information Technology
post_graduation,like,like,like,like,dislike,strongly like,like,like,like,strongly like,like,like,strongly like,like,like,like,like,strongly like,like,dislike,dislike,dislike,like,like,strongly like,like,unsure,like,strongly like,strongly like,dislike,like,dislike,like,like,unsure,dislike,strongly like,strongly like,unsure,like,strongly like,strongly like,like,like,like,dislike,like,like,like,Information Technology
post_graduation,strongly like,like,strongly like,like,like,like,unsure,unsure,like,unsure,like,like,like,dislike,dislike,strongly like,like,like,unsure,unsure,like,strongly like,like,like,like,like,unsure,like,like,strongly like,like,like,dislike,unsure,dislike,like,dislike,like,like,like,like,like,like,unsure,like,strongly like,like,like,strongly like,like,InformationTechnology
post_intermediate,like,unsure,strongly like,like,like,strongly like,unsure,unsure,like,like,like,unsure,like,unsure,like,like,strongly like,strongly like,like,like,like,like,like,strongly like,unsure,like,unsure,like,unsure,like,unsure,like,like,like,like,strongly like,like,like,strongly like,unsure,unsure,unsure,unsure,unsure,strongly like,like,like,unsure,strongly like,strongly like,InformationTechnology
post_intermediate,strongly like,strongly like,strongly like,like,strongly dislike,strongly like,like,strongly like,strongly like,like,dislike,strongly like,strongly like,like,like,like,like,strongly like,dislike,like,like,dislike,unsure,like,like,strongly like,like,like,strongly like,strongly like,like,strongly like,unsure,like,unsure,like,unsure,like,strongly like,dislike,unsure,like,strongly like,strongly like,like,strongly like,like,dislike,like,strongly like,InformationTechnology
post_intermediate,like,like,like,strongly like,like,like,like,unsure,like,dislike,dislike,dislike,strongly like,like,strongly like,strongly like,unsure,unsure,dislike,dislike,like,like,unsure,dislike,dislike,dislike,dislike,unsure,dislike,strongly like,like,like,unsure,like,like,strongly like,strongly like,strongly like,like,like,unsure,like,unsure,dislike,strongly like,like,unsure,like,like,strongly like,InformationTechnology
